id,event_time,event_type,device_name,device_ip,threat_level,category,attack_function,attack_step,signature,src_ip,src_port,src_mac,dst_ip,dst_port,dst_mac,protocol,packets_to_server,packets_to_client,bytes_to_server,bytes_to_client,created_at,added_to_baseline_at,event_time_hour,event_time_day,event_time_weekday,event_time_is_work_hour,created_at_hour,created_at_day,created_at_weekday,created_at_is_work_hour,src_ip_is_internal,dst_ip_is_internal,device_ip_is_internal,src_ip_segment,dst_ip_segment,device_ip_segment,same_segment,src_port_service,src_port_is_common,dst_port_service,dst_port_is_common,event_type_freq,category_freq,src_ip_freq,src_ip_segment_freq,attack_function_freq,attack_step_freq,signature_freq,total_bytes,total_packets,avg_packet_size,is_anomaly,anomaly_score
119192,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS 攻击_算法_URL参数攻击,174.35.64.90,50514,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,691,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.046399467819723934,2455,10,245.5,False,0.7899595386874471
119193,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS攻击_URL参数跨站脚本注入,174.35.64.90,50498,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,655,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.007151172459670714,2419,10,241.9,False,0.7549626006107217
119194,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS攻击_URL参数跨站脚本注入,174.35.64.90,50474,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,686,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.007151172459670714,2450,10,245.0,False,0.753969984880266
119195,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS攻击_URL参数跨站脚本注入,174.35.64.90,50364,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,625,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.007151172459670714,2389,10,238.9,False,0.7551019823942228
119196,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS 攻击_算法_URL参数攻击,174.35.64.90,50364,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,625,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.046399467819723934,2389,10,238.9,False,0.7979982193578746
119197,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS攻击_URL参数跨站脚本注入,174.35.64.90,50358,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,656,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.007151172459670714,2420,10,242.0,False,0.7549626006107217
119198,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS 攻击_算法_URL参数攻击,174.35.64.90,50358,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,656,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.046399467819723934,2420,10,242.0,False,0.8032660986052667
119199,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS 攻击_算法_URL参数攻击,174.35.64.90,50356,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,634,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.046399467819723934,2398,10,239.8,False,0.8050029118949377
119200,2025-02-07 13:16:38,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,XSS攻击,初始化访问,HTTP_XSS 攻击_算法_URL参数攻击,174.35.64.90,50326,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,665,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.05404955928820888,0.9531016131714618,0.046399467819723934,2429,10,242.9,False,0.8023013242757707
119201,2025-02-07 13:16:35,Alert,WxP2_CMA,174.35.49.159,40,攻击利用,其它注入,初始化访问,HTTP_注入攻击_算法_XML实体注入,174.35.64.90,50066,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,8,1532,1896,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.0013304506901712955,0.9531016131714618,0.0004989190088142358,3428,12,285.6666666666667,False,0.8407009809190875
119202,2025-02-07 13:16:35,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,其它注入,初始化访问,HTTP_XML实体注入攻击,174.35.64.90,50066,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,8,1532,1896,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.0013304506901712955,0.9531016131714618,0.0004989190088142358,3428,12,285.6666666666667,False,0.8797535835615772
119203,2025-02-07 13:16:34,Alert,WxP2_CMA,174.35.49.159,40,攻击利用,代码执行,初始化访问,HTTP_代码执行_算法_URL参数_PHP代码执行,174.35.64.90,40318,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,671,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0004989190088142358,2435,10,243.5,False,0.8099496148557991
119204,2025-02-07 13:16:34,Alert,WxP2_CMA,174.35.49.159,40,攻击利用,代码执行,初始化访问,HTTP_Struts2_S2-056远程代码执行攻击[CVE-2018-1327][CNNVD-201803-946],174.35.64.90,40302,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,5,8,2228,1896,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0003326126725428239,4124,13,317.2307692307692,False,0.789778397744745
119205,2025-02-07 13:16:34,Alert,WxP2_CMA,174.35.49.159,40,攻击利用,代码执行,初始化访问,HTTP_提权攻击_XStream_反序列化[CVE-2020-26217][CNNVD-202011-1441],174.35.64.90,40302,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,5,8,2228,1896,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0003326126725428239,4124,13,317.2307692307692,False,0.7794001117421434
119206,2025-02-07 13:16:34,Alert,WxP2_CMA,174.35.49.159,40,攻击利用,代码执行,初始化访问,HTTP_漏洞利用_反序列化_Struts2_S2-052_REST_Plugins_XStream,174.35.64.90,40302,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,5,8,2228,1896,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0003326126725428239,4124,13,317.2307692307692,False,0.7602765897652546
119207,2025-02-07 13:16:29,Alert,WxP2_CMA,174.35.49.159,40,攻击利用,代码执行,初始化访问,HTTP_Struts2_S2-057远程代码执行攻击[CVE-2018-11776],174.35.64.90,40214,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,863,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0004989190088142358,2627,10,262.7,False,0.8076107489646172
119208,2025-02-07 13:16:29,Alert,WxP2_CMA,174.35.49.159,40,攻击利用,代码执行,初始化访问,HTTP_Struts2_S2-013/S2-029_标签远程代码执行[CVE-2016-0785],174.35.64.90,40214,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,863,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0004989190088142358,2627,10,262.7,False,0.7985519233595566
119209,2025-02-07 13:16:29,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,代码执行,初始化访问,TCP_提权攻击_java.lang.Runtime敏感类_代码执行,174.35.64.90,40214,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,863,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0004989190088142358,2627,10,262.7,False,0.8391087634736744
119210,2025-02-07 13:16:29,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,代码执行,初始化访问,HTTP_提权攻击_Spring-Data-Commons组件_远程代码执行[CVE-2018-1273],174.35.64.90,40214,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,863,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.012306668884084484,0.9531016131714618,0.0004989190088142358,2627,10,262.7,False,0.8458350214376895
119211,2025-02-07 13:16:29,Alert,WxP2_CMA,174.35.49.159,30,攻击利用,命令执行,初始化访问,HTTP_命令注入_算法_URL参数_命令注入,174.35.64.90,40214,00:16:3e:e5:51:d0,174.35.64.95,32093,00:16:3e:14:62:31,TCP/http,4,6,863,1764,2025-04-02 09:15:18,,13,7,4,1,9,2,2,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.1839348079161816,0.09545983701979045,0.7954432063861633,0.005321802760685182,0.9531016131714618,0.0006652253450856477,2627,10,262.7,False,0.9257314434841118
